model,sample_id,subset_type,question_type,abstain,judge_total,bertscore_f1,bertscore_precision,bertscore_recall
gemini_25_flash_lite,2,standard,entity_or_short_fact,False,9,0.9012,0.8517,0.9568
gemini_25_flash_lite,3,edge_case,numeric,False,6,0.7057,0.8115,0.6243
gemini_25_flash_lite,4,standard,list,False,9,0.9943,0.9938,0.9947
gemini_25_flash_lite,5,edge_case,numeric,False,4,0.5505,0.5893,0.5165
gemini_25_flash_lite,6,standard,descriptive,False,9,1.0,1.0,1.0
gemini_25_flash_lite,7,standard,descriptive,False,9,0.8947,0.8932,0.8962
gemini_25_flash_lite,8,standard,entity_or_short_fact,False,9,0.7782,0.69,0.8923
gemini_25_flash_lite,9,standard,list,False,9,0.9818,0.9771,0.9865
gemini_25_flash_lite,10,standard,list,False,8,0.888,0.8982,0.8781
gemini_25_flash_lite,11,standard,numeric,False,9,0.7606,0.6863,0.8529
gemini_25_flash_lite,12,standard,entity_or_short_fact,False,9,0.6986,0.6179,0.8035
gemini_25_flash_lite,13,standard,numeric,False,9,0.9473,0.9259,0.9697
gemini_25_flash_lite,14,standard,numeric,False,9,0.891,0.853,0.9326
gemini_25_flash_lite,15,standard,numeric,False,9,0.7499,0.6512,0.8838
gemini_25_flash_lite,16,edge_case,list,True,5,,,
gemini_25_flash_lite,17,edge_case,numeric,False,9,0.9436,0.9315,0.956
gemini_25_flash_lite,18,edge_case,numeric,False,9,0.9949,0.9979,0.9919
gemini_25_flash_lite,19,standard,list,False,8,0.8966,0.9126,0.8813
gemini_25_flash_lite,20,standard,numeric,False,9,0.9706,0.977,0.9643
gemini_25_flash_lite,21,standard,list,False,9,0.9166,0.8759,0.9612
gemini_25_flash_lite,22,standard,descriptive,False,7,0.8232,0.8279,0.8185
gemini_25_flash_lite,23,standard,entity_or_short_fact,False,9,0.7255,0.6492,0.8222
gemini_25_flash_lite,24,standard,entity_or_short_fact,True,5,,,
gemini_25_flash_lite,25,standard,numeric,False,9,1.0,1.0,1.0
gemini_25_flash_lite,26,edge_case,list,False,5,0.7426,0.746,0.7393
gemini_25_flash_lite,27,standard,descriptive,False,9,0.8363,0.7644,0.9231
gemini_25_flash_lite,28,standard,entity_or_short_fact,False,9,0.7319,0.6369,0.8603
gemini_25_flash_lite,29,standard,numeric,False,8,0.7601,0.8294,0.7015
gemini_25_flash_lite,30,standard,descriptive,False,9,0.8493,0.8306,0.8689
gemini_25_flash_lite,31,standard,list,False,8,0.8602,0.9255,0.8036
gemini_25_flash_lite,32,standard,entity_or_short_fact,False,9,0.8145,0.7248,0.9296
gemini_25_flash_lite,33,standard,numeric,False,9,0.7869,0.704,0.8918
gemini_25_flash_lite,34,standard,descriptive,False,9,0.8627,0.8017,0.9337
gemini_25_flash_lite,35,standard,numeric,False,9,0.7762,0.6861,0.8936
gemini_25_flash_lite,36,edge_case,numeric,False,9,0.7567,0.6784,0.8553
gemini_25_flash_lite,37,standard,entity_or_short_fact,False,9,0.8131,0.7371,0.9064
gemini_25_flash_lite,38,standard,descriptive,False,9,0.8855,0.8558,0.9174
gemini_25_flash_lite,39,edge_case,entity_or_short_fact,True,5,,,
gemini_25_flash_lite,40,standard,list,False,9,0.9089,0.872,0.949
gemini_25_flash_lite,41,standard,descriptive,False,9,1.0,1.0,1.0
gemini_25_flash_lite,42,standard,list,False,8,0.8881,0.9356,0.8453
gemini_25_flash_lite,43,edge_case,list,True,5,,,
gemini_25_flash_lite,44,standard,descriptive,True,5,,,
gemini_25_flash_lite,45,standard,numeric,False,9,0.8946,0.8699,0.9207
gemini_25_flash_lite,46,edge_case,list,True,5,,,
gemini_25_flash_lite,47,standard,list,False,8,0.9004,0.9216,0.8801
gemini_25_flash_lite,48,standard,descriptive,False,9,0.8686,0.8205,0.9227
gemini_25_flash_lite,49,standard,entity_or_short_fact,False,9,1.0,1.0,1.0
